"sale_price","sale_date","address","beds","full_baths","half_baths","sqft","acres","lat","long"
425000,2025-10-10,"2800 KIMBERLEY RD, Ann Arbor, MI 48104",3,2,0,1650,0.219,42.24813957782,-83.716538290967
630000,2025-10-10,"410 N FIRST ST 207, Ann Arbor, MI 48103",0,2,0,1096,NA,42.28405433139,-83.750717313518
360000,2025-10-08,"226 W OAKBROOK DR, Ann Arbor, MI 48103",2,2,0,1470,NA,42.249048936524,-83.756453884331
225000,2025-10-08,"3001 FERNWOOD AV 202, Ann Arbor, MI 48108",0,2,0,997,NA,42.245125035064,-83.693752385093
940000,2025-10-07,"2658 WHITE OAK DR, ANN ARBOR, MI 48103",4,2,1,3473,0.468,42.310263723378,-83.770256928732
320000,2025-10-03,"3425 BURBANK DR, ANN ARBOR, MI 48105",2,1,0,1074,NA,42.314835645497,-83.690691059016
329000,2025-10-03,"3051 BARCLAY WAY, ANN ARBOR, MI 48105",2,2,1,1148,NA,42.320083155771,-83.701486433647
627500,2025-10-03,"3304 ALTON CT, ANN ARBOR, MI 48105",4,2,1,2330,0.231,42.312147456204,-83.694579763461
560000,2025-10-03,"2370 EARL SCHAFER CT, ANN ARBOR, MI 48105",3,2,1,1877,0.095,42.317295627919,-83.720274936853
660000,2025-10-03,"1775 S FRANKLIN CT, ANN ARBOR, MI 48103",4,3,0,2477,0.202,42.29762284423,-83.779316944848
895000,2025-10-03,"1005 NEWPORT RD, ANN ARBOR, MI 48103",3,2,1,1620,0.302,42.29059520622,-83.765715611478
490000,2025-10-02,"1496 NEWPORT RD, ANN ARBOR, MI 48103",2,2,0,839,0.258,42.295361729089,-83.76569991244
179050,2025-10-02,"2124 PAULINE BLV 206, Ann Arbor, MI 48103",1,1,0,927,NA,42.266890175661,-83.776518082748
585000,2025-10-02,"1022 W LIBERTY ST, Ann Arbor, MI 48103",3,1,0,1064,0.152,42.277666197201,-83.760272418233
505000,2025-10-01,"2825 RIDINGTON RD, ANN ARBOR, MI 48105",3,2,1,1866,NA,42.316102329059,-83.708962900396
975000,2025-10-01,"441 S ASHLEY 204, Ann Arbor, MI 48103",3,2,0,1482,NA,42.276612630471,-83.749894634747
490000,2025-10-01,"2145 STEEPLECHASE DR, Ann Arbor, MI 48103",0,1,1,1684,0.207,42.254219954803,-83.772551844312
